type,name,num_nodes,num_edges,gpn_num
bipartite,bipartite_8_nodes_125,8,8,41
bipartite,bipartite_8_nodes_126,8,9,48
bipartite,bipartite_8_nodes_127,8,8,43
bipartite,bipartite_8_nodes_128,8,9,50
bipartite,bipartite_8_nodes_129,8,10,54
bipartite,bipartite_8_nodes_130,8,9,49
bipartite,bipartite_8_nodes_131,8,10,53
bipartite,bipartite_8_nodes_132,8,11,60
bipartite,bipartite_8_nodes_133,8,10,53
bipartite,bipartite_8_nodes_134,8,11,56
bipartite,bipartite_8_nodes_135,8,11,58
bipartite,bipartite_8_nodes_136,8,11,59
bipartite,bipartite_8_nodes_137,8,10,60
bipartite,bipartite_8_nodes_138,8,11,61
bipartite,bipartite_8_nodes_139,8,11,56
bipartite,bipartite_8_nodes_140,8,12,65
bipartite,bipartite_8_nodes_141,8,9,47
bipartite,bipartite_8_nodes_142,8,9,49
bipartite,bipartite_8_nodes_143,8,10,55
bipartite,bipartite_8_nodes_144,8,9,47
bipartite,bipartite_8_nodes_145,8,12,64
bipartite,bipartite_8_nodes_146,8,9,46
bipartite,bipartite_8_nodes_147,8,10,54
bipartite,bipartite_8_nodes_148,8,9,50
bipartite,bipartite_8_nodes_149,8,8,40
bipartite,bipartite_8_nodes_150,8,9,47
bipartite,bipartite_8_nodes_151,8,10,56
bipartite,bipartite_8_nodes_152,8,9,50
bipartite,bipartite_8_nodes_153,8,10,55
bipartite,bipartite_8_nodes_154,8,10,51
bipartite,bipartite_8_nodes_155,8,11,59
bipartite,bipartite_8_nodes_156,8,12,62
bipartite,bipartite_8_nodes_157,8,12,65
bipartite,bipartite_8_nodes_158,8,13,69
bipartite,bipartite_8_nodes_159,8,10,57
bipartite,bipartite_8_nodes_160,8,10,52
bipartite,bipartite_8_nodes_161,8,10,56
bipartite,bipartite_8_nodes_162,8,11,62
bipartite,bipartite_8_nodes_163,8,12,70
bipartite,bipartite_8_nodes_164,8,10,50
bipartite,bipartite_8_nodes_165,8,11,58
bipartite,bipartite_8_nodes_166,8,12,65
bipartite,bipartite_8_nodes_167,8,12,62
bipartite,bipartite_8_nodes_168,8,11,59
bipartite,bipartite_8_nodes_169,8,11,56
bipartite,bipartite_8_nodes_170,8,12,65
bipartite,bipartite_8_nodes_171,8,13,63
bipartite,bipartite_8_nodes_172,8,13,69
bipartite,bipartite_8_nodes_173,8,14,71
bipartite,bipartite_8_nodes_174,8,12,68
bipartite,bipartite_8_nodes_175,8,13,72
bipartite,bipartite_8_nodes_176,8,14,74
bipartite,bipartite_8_nodes_177,8,15,74
bipartite,bipartite_8_nodes_178,8,16,72
bipartite,bipartite_8_nodes_179,8,9,50
bipartite,bipartite_8_nodes_180,8,9,44
