type,name,num_nodes,num_edges,gpn_num
triangle-free,tf_2_2_2_2_1_3_4_4,8,10,41
triangle-free,tf_2_1_2_2_2_3_4_4,8,10,41
triangle-free,tf_2_2_2_2_2_3_4_5,8,11,43
triangle-free,tf_3_3_2_1_1_3_3_4,8,10,57
triangle-free,tf_3_3_3_1_1_3_3_5,8,11,56
triangle-free,tf_2_2_2_1_1_4_4_4,8,10,51
triangle-free,tf_3_3_2_1_1_3_3_4,8,10,56
triangle-free,tf_3_2_2_2_1_3_3_4,8,10,56
triangle-free,tf_3_3_2_2_1_3_3_5,8,11,59
triangle-free,tf_3_3_3_1_1_3_4_4,8,11,58
triangle-free,tf_3_3_3_2_1_3_4_5,8,12,62
triangle-free,tf_2_2_2_2_1_3_3_3,8,9,46
triangle-free,tf_3_2_2_2_1_3_3_4,8,10,55
triangle-free,tf_2_2_2_2_2_3_3_4,8,10,51
triangle-free,tf_3_2_2_2_2_3_3_5,8,11,58
triangle-free,tf_3_3_2_2_1_3_4_4,8,11,62
triangle-free,tf_3_3_1_2_2_3_4_4,8,11,62
triangle-free,tf_3_2_2_2_2_3_4_4,8,11,59
triangle-free,tf_3_3_2_2_2_3_4_5,8,12,64
triangle-free,tf_3_3_3_2_2_3_5_5,8,13,67
triangle-free,tf_3_3_3_2_1_4_4_4,8,12,66
triangle-free,tf_3_3_3_3_1_4_4_5,8,13,63
triangle-free,tf_3_3_2_2_2_4_4_4,8,12,65
triangle-free,tf_3_3_3_2_2_4_4_5,8,13,68
triangle-free,tf_3_3_3_3_2_4_5_5,8,14,69
triangle-free,tf_3_3_3_3_3_5_5_5,8,15,68
triangle-free,tf_2_2_2_1_1_1_1_4,8,7,36
triangle-free,tf_3_2_1_1_1_1_2_3,8,7,36
triangle-free,tf_2_2_2_1_1_1_2_3,8,7,36
triangle-free,tf_3_2_2_1_1_1_2_4,8,8,42
triangle-free,tf_2_2_2_1_2_1_2_4,8,8,36
triangle-free,tf_3_3_1_1_1_1_3_3,8,8,44
triangle-free,tf_3_3_2_1_1_1_3_4,8,9,48
triangle-free,tf_2_3_2_1_2_1_3_4,8,9,40
triangle-free,tf_2_2_1_1_2_2_3_3,8,8,42
triangle-free,tf_2_2_2_1_2_2_3_4,8,9,38
triangle-free,tf_2_2_1_1_2_2_4_4,8,9,48
triangle-free,tf_2_2_2_1_1_1_2_3,8,7,36
triangle-free,tf_2_2_2_2_1_1_2_4,8,8,42
triangle-free,tf_2_2_1_1_1_1_3_3,8,7,36
triangle-free,tf_2_2_2_2_1_1_3_3,8,8,46
triangle-free,tf_3_2_2_2_1_1_3_4,8,9,47
triangle-free,tf_2_2_2_1_2_1_3_3,8,8,36
triangle-free,tf_2_2_2_2_2_1_3_4,8,9,40
triangle-free,tf_3_3_2_2_1_1_4_4,8,10,52
triangle-free,tf_2_3_2_2_2_1_4_4,8,10,43
triangle-free,tf_2_2_2_2_2_2_4_4,8,10,40
triangle-free,tf_3_3_1_1_1_2_2_3,8,8,44
triangle-free,tf_3_2_2_1_1_2_2_3,8,8,41
triangle-free,tf_3_3_2_1_1_2_2_4,8,9,49
triangle-free,tf_2_2_2_1_2_2_2_3,8,8,36
triangle-free,tf_2_3_2_1_2_2_2_4,8,9,41
triangle-free,tf_3_2_1_1_1_2_3_3,8,8,36
triangle-free,tf_4_3_2_1_1_2_3_4,8,10,53
triangle-free,tf_3_3_2_1_2_2_3_4,8,10,43
triangle-free,tf_3_2_2_1_1_2_2_3,8,8,42
triangle-free,tf_3_1_2_2_1_2_2_3,8,8,42
triangle-free,tf_2_2_2_2_1_2_2_3,8,8,42
triangle-free,tf_3_2_2_2_1_2_2_4,8,9,49
triangle-free,tf_2_2_2_1_2_2_2_3,8,8,36
triangle-free,tf_2_2_2_2_2_2_2_4,8,9,42
triangle-free,tf_3_2_1_1_1_2_3_3,8,8,42
triangle-free,tf_2_2_1_1_2_2_3_3,8,8,36
triangle-free,tf_3_3_2_1_1_2_3_3,8,9,52
triangle-free,tf_3_3_2_2_1_2_3_4,8,10,54
triangle-free,tf_2_2_2_2_2_2_3_3,8,9,40
triangle-free,tf_2_3_2_2_2_2_3_4,8,10,45
triangle-free,tf_2_2_2_1_2_3_3_3,8,9,40
triangle-free,tf_2_2_2_2_2_3_3_4,8,10,44
triangle-free,tf_3_3_2_2_2_2_4_4,8,11,47
triangle-free,tf_3_2_2_2_2_3_4_4,8,11,44
triangle-free,tf_3_3_1_1_2_2_2_4,8,9,40
triangle-free,tf_3_3_2_1_2_2_3_4,8,10,44
triangle-free,tf_2_3_2_1_3_2_3_4,8,10,45
triangle-free,tf_2_3_2_2_3_2_4_4,8,11,49
triangle-free,tf_2_3_3_1_1_2_2_4,8,9,47
triangle-free,tf_3_3_3_1_1_2_3_4,8,10,55
triangle-free,tf_2_3_3_1_2_2_3_4,8,10,45
triangle-free,tf_3_2_2_1_1_3_3_3,8,9,38
triangle-free,tf_2_2_2_1_2_3_3_3,8,9,46
triangle-free,tf_2_2_2_1_1_2_2_2,8,7,36
triangle-free,tf_2_3_2_1_1_2_2_3,8,8,42
triangle-free,tf_2_2_2_2_1_2_2_3,8,8,41
triangle-free,tf_2_3_2_2_1_2_2_4,8,9,48
triangle-free,tf_2_2_1_2_1_3_2_3,8,8,36
triangle-free,tf_2_2_1_1_1_3_3_3,8,8,43
triangle-free,tf_3_3_2_1_1_2_3_3,8,9,50
triangle-free,tf_3_3_2_2_1_2_3_4,8,10,54
triangle-free,tf_2_2_2_2_2_2_3_3,8,9,39
triangle-free,tf_2_3_2_2_2_2_3_4,8,10,45
triangle-free,tf_3_2_1_2_1_3_3_3,8,9,39
triangle-free,tf_2_2_1_2_2_3_3_3,8,9,39
triangle-free,tf_2_3_3_1_1_2_3_3,8,9,49
triangle-free,tf_2_3_3_2_1_2_3_4,8,10,53
triangle-free,tf_2_2_2_2_1_3_3_3,8,9,38
triangle-free,tf_3_3_3_2_1_2_4_4,8,11,60
triangle-free,tf_2_3_3_2_2_2_4_4,8,11,49
triangle-free,tf_3_2_2_2_1_3_3_4,8,10,41
triangle-free,tf_2_2_2_2_2_3_3_4,8,10,42
triangle-free,tf_2_2_2_1_2_3_4_4,8,10,53
triangle-free,tf_4_3_3_1_1_3_3_4,8,11,56
triangle-free,tf_3_3_3_1_2_3_3_4,8,11,46
triangle-free,tf_3_2_2_1_2_4_4_4,8,11,58
triangle-free,tf_4_3_2_2_1_3_3_4,8,11,59
triangle-free,tf_3_3_2_2_2_3_3_4,8,11,48
triangle-free,tf_3_3_3_2_2_3_4_4,8,12,51
triangle-free,tf_3_3_3_1_2_3_3_4,8,11,47
triangle-free,tf_3_3_2_2_2_3_3_4,8,11,49
triangle-free,tf_2_3_3_2_3_3_4_4,8,12,52
triangle-free,tf_3_3_3_1_1_3_3_3,8,10,60
triangle-free,tf_3_3_3_2_1_3_3_4,8,11,61
triangle-free,tf_2_3_3_2_2_3_3_4,8,11,50
triangle-free,tf_2_3_3_3_1_3_3_4,8,11,56
triangle-free,tf_3_3_3_3_1_3_4_4,8,12,65
triangle-free,tf_2_3_3_3_2_3_4_4,8,12,52
triangle-free,tf_3_3_3_3_2_4_4_4,8,13,52
triangle-free,tf_3_3_2_1_2_2_2_3,8,9,47
triangle-free,tf_3_2_2_2_2_2_2_3,8,9,49
triangle-free,tf_3_3_2_2_2_2_2_4,8,10,55
triangle-free,tf_3_3_1_1_2_2_3_3,8,9,47
triangle-free,tf_4_4_2_2_2_2_4_4,8,12,64
triangle-free,tf_3_3_2_2_3_3_4_4,8,12,46
triangle-free,tf_3_3_2_1_2_2_2_3,8,9,46
triangle-free,tf_3_3_3_1_2_2_2_4,8,10,54
triangle-free,tf_2_2_3_1_3_2_2_3,8,9,38
triangle-free,tf_3_3_2_1_2_2_2_3,8,9,50
triangle-free,tf_2_2_2_2_2_2_2_2,8,8,40
triangle-free,tf_3_2_2_2_2_2_2_3,8,9,47
triangle-free,tf_3_3_2_2_2_2_2_4,8,10,56
triangle-free,tf_2_2_2_2_3_2_2_3,8,9,37
triangle-free,tf_2_3_1_2_2_3_2_3,8,9,41
triangle-free,tf_2_2_1_2_3_3_2_3,8,9,42
triangle-free,tf_2_2_1_1_3_3_3_3,8,9,50
triangle-free,tf_3_3_3_1_2_2_3_3,8,10,55
triangle-free,tf_3_3_2_2_2_2_3_3,8,10,51
triangle-free,tf_3_3_3_2_2_2_3_4,8,11,59
triangle-free,tf_2_2_2_2_3_3_3_3,8,10,44
triangle-free,tf_3_2_3_1_3_2_3_3,8,10,42
triangle-free,tf_3_2_3_2_3_2_3_4,8,11,46
triangle-free,tf_2_2_2_2_3_3_3_3,8,10,38
triangle-free,tf_4_4_3_1_2_3_3_4,8,12,62
triangle-free,tf_4_4_2_2_2_3_3_4,8,12,65
triangle-free,tf_4_4_3_2_2_3_4_4,8,13,69
triangle-free,tf_3_3_3_1_2_2_3_3,8,10,57
triangle-free,tf_3_3_2_2_2_2_3_3,8,10,52
triangle-free,tf_3_2_3_2_2_2_3_3,8,10,56
triangle-free,tf_3_3_3_2_2_2_3_4,8,11,62
triangle-free,tf_2_2_3_2_3_2_3_3,8,10,42
